id,groupId,title,key
122,29,Tạo mới hướng dẫn chọn size,create
123,29,Xóa hướng dẫn chọn size,delete
124,29,Chỉnh sửa hướng dẫn chọn size,update
125,30,Danh sách nạp tiền,index
126,30,Tạo mới nạp tiền,create
127,30,Chi tiết nạp tiền,show
128,30,Xóa nạp tiền,delete
129,30,Chỉnh sửa nạp tiền,update
130,31,Danh sách rút tiền,index
131,31,Chi tiết rút tiền,show
132,31,Từ Chối Yêu Cầu Rút Tiền,approve
133,31,Duyệt Yêu Cầu Rút Tiền,reject
134,25,Xóa chính sách điều khoản,delete
135,25,Tạo mới chính sách và điều khoản,create
136,32,Quản lý Look Book thêm,create
137,32,Quản lý Look Book sửa,update
138,32,Quản lý Look Book xóa,delete
139,32,Quản lý Look Book xem,show
140,32,Quản lý Look Book danh sách,index
