id,province,province_code,province_misa_code,district,district_code,district_misa_code,ward,ward_code,ward_misa_code
52,Hà Nội,1,VN101,Huyện Chương Mỹ,2,VN10153,Xã Quảng Bị,52,VN1015305
53,Hà Nội,1,VN101,Huyện Chương Mỹ,2,VN10153,Xã Tân Tiến,53,VN1015347
54,Hà Nội,1,VN101,Huyện Chương Mỹ,2,VN10153,Xã Thanh Bình,54,VN1015339
55,Hà Nội,1,VN101,Huyện Chương Mỹ,2,VN10153,Xã Thượng Vực,55,VN1015357
56,Hà Nội,1,VN101,Huyện Chương Mỹ,2,VN10153,Xã Thụy Hương,56,VN1015343
57,Hà Nội,1,VN101,Huyện Chương Mỹ,2,VN10153,Xã Thủy Xuân Tiên,57,VN1015313
58,Hà Nội,1,VN101,Huyện Chương Mỹ,2,VN10153,Xã Tiên Phương,58,VN1015301
59,Hà Nội,1,VN101,Huyện Chương Mỹ,2,VN10153,Xã Tốt Động,59,VN1015315
60,Hà Nội,1,VN101,Huyện Chương Mỹ,2,VN10153,Xã Trần Phú,60,VN1015361
61,Hà Nội,1,VN101,Huyện Chương Mỹ,2,VN10153,Xã Trung Hòa,61,VN1015341
62,Hà Nội,1,VN101,Huyện Chương Mỹ,2,VN10153,Xã Trường Yên,62,VN1015335
63,Hà Nội,1,VN101,Huyện Chương Mỹ,2,VN10153,Xã Văn Võ,63,VN1015363
64,Hà Nội,1,VN101,Huyện Đan Phượng,3,VN10133,Thị trấn Phùng,64,VN1013311
65,Hà Nội,1,VN101,Huyện Đan Phượng,3,VN10133,Xã Đan Phượng,65,VN1013329
66,Hà Nội,1,VN101,Huyện Đan Phượng,3,VN10133,Xã Đồng Tháp,66,VN1013331
67,Hà Nội,1,VN101,Huyện Đan Phượng,3,VN10133,Xã Hạ Mỗ,67,VN1013305
68,Hà Nội,1,VN101,Huyện Đan Phượng,3,VN10133,Xã Hồng Hà,68,VN1013317
69,Hà Nội,1,VN101,Huyện Đan Phượng,3,VN10133,Xã Liên Hà,69,VN1013321
70,Hà Nội,1,VN101,Huyện Đan Phượng,3,VN10133,Xã Liên Hồng,70,VN1013319
71,Hà Nội,1,VN101,Huyện Đan Phượng,3,VN10133,Xã Liên Trung,71,VN1013323
72,Hà Nội,1,VN101,Huyện Đan Phượng,3,VN10133,Xã Phương Đình,72,VN1013303
73,Hà Nội,1,VN101,Huyện Đan Phượng,3,VN10133,Xã Song Phượng,73,VN1013309
74,Hà Nội,1,VN101,Huyện Đan Phượng,3,VN10133,Xã Tân Hội,74,VN1013307
75,Hà Nội,1,VN101,Huyện Đan Phượng,3,VN10133,Xã Tân Lập,75,VN1013327
76,Hà Nội,1,VN101,Huyện Đan Phượng,3,VN10133,Xã Thọ An,76,VN1013301
77,Hà Nội,1,VN101,Huyện Đan Phượng,3,VN10133,Xã Thọ Xuân,77,VN1013315
78,Hà Nội,1,VN101,Huyện Đan Phượng,3,VN10133,Xã Thượng Mỗ,78,VN1013325
79,Hà Nội,1,VN101,Huyện Đan Phượng,3,VN10133,Xã Trung Châu,79,VN1013313
80,Hà Nội,1,VN101,Huyện Đông Anh,4,VN10117,Thị trấn Đông Anh,80,VN1011735
81,Hà Nội,1,VN101,Huyện Đông Anh,4,VN10117,Xã Bắc Hồng,81,VN1011705
82,Hà Nội,1,VN101,Huyện Đông Anh,4,VN10117,Xã Cổ Loa,82,VN1011723
83,Hà Nội,1,VN101,Huyện Đông Anh,4,VN10117,Xã Đại Mạch,83,VN1011743
84,Hà Nội,1,VN101,Huyện Đông Anh,4,VN10117,Xã Đông Hội,84,VN1011747
85,Hà Nội,1,VN101,Huyện Đông Anh,4,VN10117,Xã Dục Tú,85,VN1011719
86,Hà Nội,1,VN101,Huyện Đông Anh,4,VN10117,Xã Hải Bối,86,VN1011725
87,Hà Nội,1,VN101,Huyện Đông Anh,4,VN10117,Xã Kim Chung,87,VN1011717
88,Hà Nội,1,VN101,Huyện Đông Anh,4,VN10117,Xã Kim Nỗ,88,VN1011741
89,Hà Nội,1,VN101,Huyện Đông Anh,4,VN10117,Xã Liên Hà,89,VN1011713
90,Hà Nội,1,VN101,Huyện Đông Anh,4,VN10117,Xã Mai Lâm,90,VN1011729
91,Hà Nội,1,VN101,Huyện Đông Anh,4,VN10117,Xã Nam Hồng,91,VN1011707
92,Hà Nội,1,VN101,Huyện Đông Anh,4,VN10117,Xã Nguyên Khê,92,VN1011737
93,Hà Nội,1,VN101,Huyện Đông Anh,4,VN10117,Xã Tàm Xá,93,VN1011733
94,Hà Nội,1,VN101,Huyện Đông Anh,4,VN10117,Xã Thụy Lâm,94,VN1011703
95,Hà Nội,1,VN101,Huyện Đông Anh,4,VN10117,Xã Tiên Dương,95,VN1011709
96,Hà Nội,1,VN101,Huyện Đông Anh,4,VN10117,Xã Uy Nỗ,96,VN1011739
97,Hà Nội,1,VN101,Huyện Đông Anh,4,VN10117,Xã Vân Hà,97,VN1011711
98,Hà Nội,1,VN101,Huyện Đông Anh,4,VN10117,Xã Vân Nội,98,VN1011731
99,Hà Nội,1,VN101,Huyện Đông Anh,4,VN10117,Xã Việt Hùng,99,VN1011715
100,Hà Nội,1,VN101,Huyện Đông Anh,4,VN10117,Xã Vĩnh Ngọc,100,VN1011721
101,Hà Nội,1,VN101,Huyện Đông Anh,4,VN10117,Xã Võng La,101,VN1011727
102,Hà Nội,1,VN101,Huyện Đông Anh,4,VN10117,Xã Xuân Canh,102,VN1011745
103,Hà Nội,1,VN101,Huyện Đông Anh,4,VN10117,Xã Xuân Nộn,103,VN1011701
104,Hà Nội,1,VN101,Huyện Gia Lâm,5,VN10119,Thị trấn Trâu Quỳ,104,VN1011929
105,Hà Nội,1,VN101,Huyện Gia Lâm,5,VN10119,Thị trấn Yên Viên,105,VN1011911
106,Hà Nội,1,VN101,Huyện Gia Lâm,5,VN10119,Xã Bát Tràng,106,VN1011903
107,Hà Nội,1,VN101,Huyện Gia Lâm,5,VN10119,Xã Cổ Bi,107,VN1011923
108,Hà Nội,1,VN101,Huyện Gia Lâm,5,VN10119,Xã Đa Tốn,108,VN1011909
109,Hà Nội,1,VN101,Huyện Gia Lâm,5,VN10119,Xã Đặng Xá,109,VN1011925
110,Hà Nội,1,VN101,Huyện Gia Lâm,5,VN10119,Xã Đình Xuyên,110,VN1011917
111,Hà Nội,1,VN101,Huyện Gia Lâm,5,VN10119,Xã Đông Dư,111,VN1011933
112,Hà Nội,1,VN101,Huyện Gia Lâm,5,VN10119,Xã Dương Hà,112,VN1011919
113,Hà Nội,1,VN101,Huyện Gia Lâm,5,VN10119,Xã Dương Quang,113,VN1011931
114,Hà Nội,1,VN101,Huyện Gia Lâm,5,VN10119,Xã Dương Xá,114,VN1011943
115,Hà Nội,1,VN101,Huyện Gia Lâm,5,VN10119,Xã Kiêu Kỵ,115,VN1011901
116,Hà Nội,1,VN101,Huyện Gia Lâm,5,VN10119,Xã Kim Lan,116,VN1011905
117,Hà Nội,1,VN101,Huyện Gia Lâm,5,VN10119,Xã Kim Sơn,117,VN1011927
118,Hà Nội,1,VN101,Huyện Gia Lâm,5,VN10119,Xã Lệ Chi,118,VN1011935
119,Hà Nội,1,VN101,Huyện Gia Lâm,5,VN10119,Xã Ninh Hiệp,119,VN1011937
120,Hà Nội,1,VN101,Huyện Gia Lâm,5,VN10119,Xã Phù Đổng,120,VN1011921
121,Hà Nội,1,VN101,Huyện Gia Lâm,5,VN10119,Xã Phú Thị,121,VN1011941
122,Hà Nội,1,VN101,Huyện Gia Lâm,5,VN10119,Xã Trung Mầu,122,VN1011939
123,Hà Nội,1,VN101,Huyện Gia Lâm,5,VN10119,Xã Văn Đức,123,VN1011907
124,Hà Nội,1,VN101,Huyện Gia Lâm,5,VN10119,Xã Yên Thường,124,VN1011913
125,Hà Nội,1,VN101,Huyện Gia Lâm,5,VN10119,Xã Yên Viên,125,VN1011915
